iter	Passed	Remaining
0	0	35
1	0	31
2	0	30
3	1	28
4	1	27
5	1	27
6	2	27
7	2	27
8	2	26
9	3	27
10	3	26
11	3	26
12	4	30
13	4	30
14	5	29
15	5	29
16	5	28
17	6	28
18	6	27
19	6	27
20	7	27
21	7	26
22	7	26
23	8	25
24	8	25
25	8	25
26	9	24
27	9	24
28	9	23
29	10	23
30	10	23
31	10	22
32	10	22
33	11	21
34	11	21
35	11	21
36	12	20
37	12	20
38	12	19
39	13	19
40	13	19
41	13	18
42	13	18
43	14	17
44	14	17
45	14	17
46	15	16
47	15	16
48	15	16
49	16	16
50	16	15
51	16	15
52	17	15
53	17	15
54	17	14
55	18	14
56	18	14
57	19	13
58	19	13
59	19	13
60	20	12
61	20	12
62	20	12
63	21	11
64	21	11
65	21	11
66	22	10
67	22	10
68	22	10
69	23	9
70	23	9
71	23	9
72	24	8
73	24	8
74	25	8
75	25	8
76	25	7
77	26	7
78	26	7
79	26	6
80	27	6
81	27	6
82	27	5
83	28	5
84	28	5
85	28	4
86	29	4
87	29	4
88	29	3
89	30	3
90	30	3
91	30	2
92	31	2
93	31	2
94	32	1
95	32	1
96	32	1
97	33	0
98	33	0
99	33	0
