iter	Passed	Remaining
0	57	57673
1	58	28999
2	58	19549
3	59	14749
4	59	11905
5	60	9973
6	60	8581
7	61	7564
8	61	6769
9	61	6120
10	62	5590
11	62	5145
12	62	4766
13	63	4449
14	63	4169
15	63	3927
16	64	3712
17	64	3516
18	64	3341
19	64	3184
20	65	3045
21	65	2916
22	65	2798
23	66	2690
24	66	2590
25	66	2504
26	67	2423
27	67	2343
28	67	2269
29	68	2201
30	68	2137
31	68	2075
32	68	2018
33	69	1967
34	69	1916
35	69	1869
36	70	1825
37	70	1785
38	71	1751
39	71	1713
40	73	1719
41	74	1689
42	74	1654
43	76	1668
44	77	1641
45	77	1613
46	78	1582
47	78	1553
48	78	1525
49	78	1498
50	79	1472
51	79	1447
52	79	1423
53	79	1399
54	80	1377
55	81	1368
56	84	1397
57	84	1378
58	85	1358
59	85	1338
60	85	1319
61	85	1301
62	86	1291
63	87	1277
64	87	1264
65	88	1249
66	88	1234
67	88	1218
68	89	1205
69	89	1190
70	90	1180
71	90	1169
72	91	1156
73	91	1144
74	91	1132
75	98	1203
76	99	1191
77	99	1179
78	100	1172
79	101	1162
80	101	1153
81	102	1143
82	102	1129
83	102	1118
84	102	1106
85	103	1095
86	103	1084
87	103	1073
88	103	1063
89	104	1052
90	104	1042
91	104	1032
92	104	1022
93	105	1013
94	105	1004
95	105	994
96	105	985
97	106	977
98	106	968
99	106	960
100	106	951
101	120	1056
102	130	1132
103	130	1126
104	131	1120
105	135	1139
106	135	1132
107	140	1162
108	141	1155
109	141	1146
110	141	1136
111	142	1127
112	142	1118
113	150	1168
114	150	1159
115	150	1150
116	151	1141
117	151	1132
118	152	1125
119	152	1118
120	152	1110
121	153	1101
122	153	1093
123	153	1086
124	154	1079
125	154	1073
126	155	1065
127	155	1058
128	155	1051
129	156	1044
130	156	1037
131	156	1030
132	157	1023
133	157	1017
134	157	1010
135	158	1003
136	158	997
137	158	991
138	159	985
139	159	978
140	159	972
141	159	965
142	160	960
143	160	954
144	160	948
145	161	943
146	161	938
147	162	934
148	162	928
149	163	923
150	163	918
151	163	912
152	164	908
153	164	902
154	164	897
155	165	892
156	165	888
157	165	882
158	165	877
159	166	873
160	166	868
161	167	864
162	167	860
163	167	855
164	168	850
165	168	845
166	168	841
167	168	836
168	169	831
169	169	827
170	169	823
171	170	819
172	170	815
173	171	811
174	171	808
175	171	805
176	172	801
177	172	798
178	173	794
179	173	790
180	174	787
181	174	783
182	174	780
183	175	776
184	175	773
185	175	769
186	176	766
187	176	762
188	176	759
189	177	755
190	177	752
191	178	749
192	178	745
193	178	742
194	179	739
195	179	736
196	179	733
